true_word;other_words
Iphone 5;iphone 5
Iphone 6;iphone 6
Iphone 6S;ip 6s,6s,Iphone 6s,iphone 6s,Ip6s
Iphone 6S Plus;Ip6s+,iphone 6s Plus
Iphone 7;ip 7
Iphone 7 Plus;ip 7 plus,7+,iphone 7 plus,iphone 7plus,Iphone 7 plus
Iphone 8 Plus;Iphone 8 plus,ip8 plus,iphone 8 plus,Ip 8 plus,8+,8 plus,ip 8+,ip8+
Iphone X;ipx,iphoneX,iphone x,ip X,iphonex,Iphonex,Iphone x
Iphone XR;iphone xr,iphone XR
Iphone XS;xs
Iphone XS Max;XS max,iphone xs max,iPhone Xs Max,IPhone XS Max
SamSung J4;J4
SamSung J4 Plus;J4 plus
SamSung A5;A5 2018,a5
SamSung J6 Plus;j6 plus,j6+,J6 plus,J6+,Samsung galaxy j6+,j6plus
SamSung S6;s6,S6
SamSung S6 Plus;s6 plus,S6 Plus
SamSung S7;s7
SamSung S7 Plus;SS7+
SamSung S7 Edge;s7 edge
SamSung J7 Pro;j7 pro
SamSung A7;A7 2018,a7
SamSung S8;S8,Samsung S8,samsung S8
SamSung S8 Plus;SS8+,S8+,s8+,samsung galaxy s8 plus,samsung s8+
SamSung A8;A8 2018,a8,ss A8,samsung galaxy A8,A8,samsung A8
SamSung A8 Plus;A8+,a8+
SamSung Note 8;note 8,Note 8,Note8,8 note,not 8,note8
SamSung S9;S9,s9
SamSung S9 Plus;SS9+,S9+,S9plus,s9 plus,S9 plus,s9+,s9 +
SamSung A9;A9 2018,a9,A9
SamSung Note 9;SS9 note,note 9,Note 9,Note9
Xiaomi Redmi;Xiaomi redmi
Xiaomi Redmi 6a;6a
Xiaomi Mi A1;xiaomi mi A1,Mi A1
Xiaomi Mi A2;xiaomi mi A2,Mi A2
Xiaomi Mi 6x;mi6x,mi6X,mi 6x,Xiaomi Mi 6X
Xiaomi Mi 8;xiaomi mi 8
Xiaomi Mi 8 Pro;mi 8 pro,Xiaomi mi 8 pro
Xiaomi Redmi Note 6 Pro;xiaomi redmi note 6pro
Huawei Nova 3e;nova 3e,nova 3
Huawei Nova 3i;3i,nova 3i
Huawei Y9;y9
Huawei P20 Pro;Huawei p20 pro,huawei p20,P20 pro,Huawei P20 Pro
ASUS ZenFone Max Pro M1;zenfon max pro,Max pro M1,Max pro M1
Sony Xperia XA1 Plus;sony xa1 plus,xa1 plus,XA1
Sony Xperia XZ Premium;Xz premium
OPPO F1s;oppo F1s