urls;product_type
https://didongviet.vn/iphone/iphone-se.html;iphone-se
https://didongviet.vn/iphone/iphone-xs-xs-max.html;iphone-xsmax
https://didongviet.vn/iphone/iphone-xr.html;iphone-xr
https://didongviet.vn/iphone/iphone-x.html;iphone-x
https://didongviet.vn/iphone/iphone-8-8-plus.html;iphone-8
https://didongviet.vn/iphone/iphone-7-7-plus.html;iphone-7
https://didongviet.vn/dien-thoai/samsung.html;samsung
https://didongviet.vn/dien-thoai/oppo.html;oppo
https://didongviet.vn/dien-thoai/xiaomi.html;xiaomi
https://didongviet.vn/dien-thoai/asus.html;asus
https://didongviet.vn/dien-thoai/huawei.html;huawei